OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,NaturalGasAvailabe,SteamAvailabe
50061,Multifamily MR (5-9),Mid-Rise Multifamily,DOWNTOWN,47.60029,-122.32844,2015,1.0,7,91128,0,91128,Multifamily Housing,91128.0,Retail Store,6340.0,,,99.0,1953919.875,False,Compliant,,50.23,True,False
50062,NonResidential,Hotel,LAKE UNION,47.65476,-122.34732,2014,1.0,4,126823,41539,85284,Hotel,88157.0,Parking,41539.0,Swimming Pool,0.0,72.0,6042399.5,False,Compliant,,131.02,True,False
50068,NonResidential,Warehouse,GREATER DUWAMISH,47.54425,-122.31776,1955,1.0,1,52085,4222,47863,Non-Refrigerated Warehouse,52085.0,,,,,37.0,4182621.75,False,Compliant,,157.7,True,False
50069,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,47.53161,-122.29944,1929,1.0,2,24990,0,24990,Office,24990.0,,,,,9.0,4731813.5,False,Compliant,,134.8,True,False
50070,NonResidential,Other,NORTHEAST,47.68109000000001,-122.2618,2013,1.0,1,72000,0,72000,Other - Recreation,72000.0,,,,,,3198858.0,False,Compliant,,67.65,True,False
50071,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.62107,-122.32156,2015,1.0,7,41384,15062,26322,Multifamily Housing,34643.0,Parking,8266.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",1714.0,100.0,13409.0,False,Non-Compliant,Low outlier,0.09,False,False
50072,Multifamily MR (5-9),Mid-Rise Multifamily,BALLARD,47.67054,-122.388,2015,1.0,6,121218,29825,91393,Multifamily Housing,91393.0,Parking,29825.0,,,100.0,1962106.75,False,Compliant,,51.26,True,False
50074,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHWEST,47.73256,-122.3559,2015,1.0,5,59653,14383,45270,Multifamily Housing,49359.0,Parking,10664.0,,,98.0,1187254.375,False,Compliant,,12.21,True,False
50075,Multifamily MR (5-9),Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,47.62157,-122.35569,2015,1.0,7,260051,90503,169548,Multifamily Housing,145784.0,Parking,64341.0,,,98.0,5328224.0,False,Compliant,,124.18,True,False
50076,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.66221,-122.31652,2015,1.0,7,233757,46280,187477,Multifamily Housing,187477.0,Parking,46280.0,,,100.0,4704159.0,False,Compliant,,86.25,True,False
50078,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.61753,-122.3362,2015,1.0,20,149976,12223,137753,Multifamily Housing,115768.0,Office,12503.0,College/University,9733.0,99.0,5026807.5,False,Compliant,,103.37,True,False
50081,NonResidential,K-12 School,GREATER DUWAMISH,47.58831,-122.3065,2015,1.0,3,45000,0,45000,K-12 School,45728.0,Parking,0.0,,,77.0,1397742.375,False,Compliant,,9.24,False,False
50082,Multifamily LR (1-4),Low-Rise Multifamily,EAST,47.62441,-122.313,2015,1.0,4,36685,8254,28431,,,,,,,,857612.6875,False,Compliant,,,,
50084,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.67584,-122.31803,2015,1.0,7,213952,51739,162213,Multifamily Housing,154913.0,Parking,135000.0,,,100.0,6858451.0,False,Compliant,,205.52,True,False
50086,Multifamily LR (1-4),Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,47.63892,-122.37582,2015,1.0,4,51095,2784,48311,Multifamily Housing,49324.0,Parking,2791.0,,,1.0,2992911.0,False,Compliant,,31.55,False,False
50088,Multifamily LR (1-4),Low-Rise Multifamily,LAKE UNION,47.65295,-122.35593,2015,1.0,4,41403,0,41403,Multifamily Housing,42014.0,Parking,4941.0,,,88.0,1214942.0,False,Compliant,,28.08,True,False
50089,Multifamily LR (1-4),Low-Rise Multifamily,CENTRAL,47.59052,-122.29208,2015,1.0,3,25442,604,24838,Multifamily Housing,25052.0,Parking,5582.0,Restaurant,3530.0,,2181833.5,False,Compliant,,75.62,True,False
